Nom,Fabricant,Production State,Image,Role,Taille,Equipage,Cargo,Lien
600i Touring,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/8/80/600i_Landed_on_luxury_Island_-_Isometric.jpg/400px-600i_Landed_on_luxury_Island_-_Isometric.jpg.webp,Touring,"Large
(S5/L
)",3 – 5,20 SCU,https://starcitizen.tools/600i_Touring
85X,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/4/48/IAE2951-day6-origin-85x.jpg/400px-IAE2951-day6-origin-85x.jpg.webp,Touring,"Snub
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/85X
890 Jump,Origin Jumpworks,Flight ready,https://media.starcitizen.tools/thumb/7/76/890_Jump_Leaving_Hurston_3.6.png/400px-890_Jump_Leaving_Hurston_3.6.png.webp,Luxury Touring,"Capital
(S6/XL
)",3 – 8,388 SCU,https://starcitizen.tools/890_Jump
A1 Spirit,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/6/66/A1_x2_bombing_ground_vehicle_attackers_-_Cut.jpg/400px-A1_x2_bombing_ground_vehicle_attackers_-_Cut.jpg.webp,Bomber,"Medium
(S3/S
)",1 – 2,0 SCU,https://starcitizen.tools/A1_Spirit
A2 Hercules Starlifter,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/9/9b/Hercules_A2_-_Flying_and_firing_over_bombed_Area_18.jpg/400px-Hercules_A2_-_Flying_and_firing_over_bombed_Area_18.jpg.webp,Heavy Bomber,"Large
(S5/L
)",1 – 8,216 SCU,https://starcitizen.tools/A2_Hercules_Starlifter
Apollo Medivac,Roberts Space Industries,Active production,https://media.starcitizen.tools/thumb/8/89/Medivac_-_Under_attack_above_world_while_rescuing_with_drone_-_Rear_Starboard.jpg/400px-Medivac_-_Under_attack_above_world_while_rescuing_with_drone_-_Rear_Starboard.jpg.webp,Medical,Medium,1 – 2,28 SCU,https://starcitizen.tools/Apollo_Medivac
Apollo Triage,Roberts Space Industries,Long term production,https://media.starcitizen.tools/thumb/1/18/Apollos_InFlight_Concept.jpg/400px-Apollos_InFlight_Concept.jpg.webp,Medical,Medium,1 – 2,28 SCU,https://starcitizen.tools/Apollo_Triage
Ares Star Fighter Inferno,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/b/ba/Ares_Inferno_-_Flying_by_asteroids_firing_gun.jpg/400px-Ares_Inferno_-_Flying_by_asteroids_firing_gun.jpg.webp,Heavy Fighter,"Small
(S3/S
)",1,0 SCU,https://starcitizen.tools/Ares_Star_Fighter_Inferno
Ares Star Fighter Ion,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/9/93/Ares_Ion_-_Flying_by_asteroids_firing_gun.jpg/400px-Ares_Ion_-_Flying_by_asteroids_firing_gun.jpg.webp,Heavy Fighter,"Small
(S3/S
)",1,0 SCU,https://starcitizen.tools/Ares_Star_Fighter_Ion
Arrastra,Roberts Space Industries,In concept,https://media.starcitizen.tools/thumb/2/25/Arrastra_flying_through_columns_-_Cut.png/400px-Arrastra_flying_through_columns_-_Cut.png.webp,Mining & Refining,Large,2 – 5,576 SCU,https://starcitizen.tools/Arrastra
Arrow,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/4/47/Arrow_over_Celiin_3.9.1.png/400px-Arrow_over_Celiin_3.9.1.png.webp,Light Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Arrow
ATLS,Argo Astronautics,Flight ready,,,,,,https://starcitizen.tools/ATLS
Aurora CL,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/3/37/Aurora_CL_flying_over_mountains_-_Crop.png/400px-Aurora_CL_flying_over_mountains_-_Crop.png.webp,Light Freight,"Small
(S2/XS
)",1,6 SCU,https://starcitizen.tools/Aurora_CL
Aurora ES,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/6/6e/Aurora_ES_flying_over_clouds_-_Crop.jpg/400px-Aurora_ES_flying_over_clouds_-_Crop.jpg.webp,"Starter, Pathfinder","Small
(S2/XS
)",1,3 SCU,https://starcitizen.tools/Aurora_ES
Aurora LN,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/d/da/Aurora_LN_-_Flying_over_world.jpg/400px-Aurora_LN_-_Flying_over_world.jpg.webp,Light Fighter,"Small
(S2/XS
)",1,3 SCU,https://starcitizen.tools/Aurora_LN
Aurora LX,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/5/51/Aurora_LX_flying_over_clouds_-_Crop.png/400px-Aurora_LX_flying_over_clouds_-_Crop.png.webp,Pathfinder,"Small
(S2/XS
)",1,3 SCU,https://starcitizen.tools/Aurora_LX
Aurora MR,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/d/d4/Aurora_MR_flying_above_world_-_Crop.png/400px-Aurora_MR_flying_above_world_-_Crop.png.webp,Light Fighter,"Small
(S2/XS
)",1,3 SCU,https://starcitizen.tools/Aurora_MR
Avenger Stalker,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/3/34/Avenger_Stalker_-_In_flight_promo_shot.jpg/400px-Avenger_Stalker_-_In_flight_promo_shot.jpg.webp,Interdiction,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Avenger_Stalker
Avenger Titan,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/4/4b/Avenger_Titan_3.2_sale_Titan_01-Squashed.jpg/400px-Avenger_Titan_3.2_sale_Titan_01-Squashed.jpg.webp,Light Freight,"Small
(S2/XS
)",1,8 SCU,https://starcitizen.tools/Avenger_Titan
Avenger Titan Renegade,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/5/50/Avenger_Titan_Renegade_3.2_sale_Renegade_01_-_cropped_and_adjusted.jpg/400px-Avenger_Titan_Renegade_3.2_sale_Renegade_01_-_cropped_and_adjusted.jpg.webp,Light Freight,"Small
(S2/XS
)",1,8 SCU,https://starcitizen.tools/Avenger_Titan_Renegade
Avenger Warlock,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/4/44/Avenger_Warlock_3.2_sale_Warlock_10-Squashed.jpg/400px-Avenger_Warlock_3.2_sale_Warlock_10-Squashed.jpg.webp,Interdiction,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Avenger_Warlock
Ballista,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/c/cb/Ballista_on_glassland_firing_weapons_-_cropped.jpg/400px-Ballista_on_glassland_firing_weapons_-_cropped.jpg.webp,Military,"Vehicle
(S4/M
)",1 – 2,0 SCU,https://starcitizen.tools/Ballista
Ballista Dunestalker,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/c/c6/Ballista_Dunestalker_on_Hurston_with_weapons_pointing_upwards.jpg/400px-Ballista_Dunestalker_on_Hurston_with_weapons_pointing_upwards.jpg.webp,Military,"Vehicle
(S4/M
)",1 – 2,0 SCU,https://starcitizen.tools/Ballista_Dunestalker
Ballista Snowblind,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/1/16/Ballista_Snowblind_firing_its_torpedo_-_Cropped_2.png/400px-Ballista_Snowblind_firing_its_torpedo_-_Cropped_2.png.webp,Military,"Vehicle
(S4/M
)",1 – 2,0 SCU,https://starcitizen.tools/Ballista_Snowblind
Blade,Esperia,Flight ready,https://media.starcitizen.tools/thumb/4/4c/Blade-top-isc-2020-06-18.jpg/400px-Blade-top-isc-2020-06-18.jpg.webp,Light Fighter,Small,1,0 SCU,https://starcitizen.tools/Blade
Buccaneer,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/a/ac/Buccaneer_-_3.10_-_Flying_over_Microtech.jpg/400px-Buccaneer_-_3.10_-_Flying_over_Microtech.jpg.webp,Interdiction,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Buccaneer
C1 Spirit,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/9/95/Crusader_C1_Spirit_at_Winners_Circle.png/400px-Crusader_C1_Spirit_at_Winners_Circle.png.webp,Medium Freight,"Medium
(S3/S
)",1 – 2,64 SCU,https://starcitizen.tools/C1_Spirit
C2 Hercules Starlifter,Crusader Industries,Flight ready,https://media.starcitizen.tools/thumb/c/cc/C2_Feature_Style_clouds.jpg/400px-C2_Feature_Style_clouds.jpg.webp,Heavy Freight,"Large
(S5/L
)",1 – 2,696 SCU,https://starcitizen.tools/C2_Hercules_Starlifter
C8R Pisces Rescue,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/3/3f/Anvil_C8R_Pisces_loading.jpg/400px-Anvil_C8R_Pisces_loading.jpg.webp,Medical,"Small
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/C8R_Pisces_Rescue
C8X Pisces Expedition,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/d/d5/Pisces_C8X_flying_over_mountainous_volcanic_world.jpg/400px-Pisces_C8X_flying_over_mountainous_volcanic_world.jpg.webp,Expedition,"Small
(S1/XXS
)",1 – 3,4 SCU,https://starcitizen.tools/C8X_Pisces_Expedition
Carrack,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/9/92/Carrack_over_microTech_3.8.png/400px-Carrack_over_microTech_3.8.png.webp,Expedition,"Large
(S5/L
)",4 – 6,456 SCU,https://starcitizen.tools/Carrack
Caterpillar,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/8/8b/Caterpillar_firing_guns_-_Front_Port.jpg/400px-Caterpillar_firing_guns_-_Front_Port.jpg.webp,Heavy Freight,"Large
(S5/L
)",2 – 4,576 SCU,https://starcitizen.tools/Caterpillar
Caterpillar Best In Show Edition,Drake Interplanetary,Flight ready,,,,,,https://starcitizen.tools/Caterpillar_Best_In_Show_Edition
Caterpillar Pirate Edition,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/7/7b/Caterpillar_Pirate_-_Landed_in_station_hangar.jpg/400px-Caterpillar_Pirate_-_Landed_in_station_hangar.jpg.webp,Heavy Freight,"Large
(S5/L
)",2 – 4,576 SCU,https://starcitizen.tools/Caterpillar_Pirate_Edition
Centurion,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/b/b0/Centurion_-_In_battle_with_all_guns_firing.png/400px-Centurion_-_In_battle_with_all_guns_firing.png.webp,Combat,"Vehicle
(S4/M
)",1 – 2,0 SCU,https://starcitizen.tools/Centurion
Constellation Andromeda,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/d/d7/Andromeda_flying_from_Station_-_Front_Starboard.jpg/400px-Andromeda_flying_from_Station_-_Front_Starboard.jpg.webp,"Medium Freight, Gunship","Large
(S4/M
)",3 – 4,96 SCU,https://starcitizen.tools/Constellation_Andromeda
Constellation Aquila,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/7/7e/Aquila_-_QT_-_Rear_Port.jpg/400px-Aquila_-_QT_-_Rear_Port.jpg.webp,Expedition,"Large
(S4/M
)",3 – 4,96 SCU,https://starcitizen.tools/Constellation_Aquila
Constellation Phoenix,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/1/17/Constellation-phoenix-flyby-01.jpg/400px-Constellation-phoenix-flyby-01.jpg.webp,Luxury Touring,"Large
(S4/M
)",3 – 4,80 SCU,https://starcitizen.tools/Constellation_Phoenix
Constellation Phoenix Emerald,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/9/90/Constellation_Phoenix_Emerald_-_3.14_Update_-_cropped_and_adjusted.png/400px-Constellation_Phoenix_Emerald_-_3.14_Update_-_cropped_and_adjusted.png.webp,Touring,"Large
(S4/M
)",3 – 4,80 SCU,https://starcitizen.tools/Constellation_Phoenix_Emerald
Constellation Taurus,Roberts Space Industries,Flight ready,https://media.starcitizen.tools/thumb/9/9d/Constellation_Taurus_-_Flying_through_clouds.jpg/400px-Constellation_Taurus_-_Flying_through_clouds.jpg.webp,Medium Freight,"Large
(S4/M
)",3 – 4,168 SCU,https://starcitizen.tools/Constellation_Taurus
Corsair,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/0/0e/SC-3.17_20221116_Corsair_Concept_Art_Recreation.png/400px-SC-3.17_20221116_Corsair_Concept_Art_Recreation.png.webp,Expedition,"Large
(S4/M
)",1 – 4,72 SCU,https://starcitizen.tools/Corsair
Crucible,Anvil Aerospace,In concept,https://media.starcitizen.tools/thumb/4/40/Crucible_Repairs.jpg/400px-Crucible_Repairs.jpg.webp,Heavy Repair,Large,3 – 8,230 SCU,https://starcitizen.tools/Crucible
CSV-SM,Argo Astronautics,Flight ready,https://media.starcitizen.tools/thumb/8/89/CSV-SM_driving_through_snowy_outpost_-_cropped.png/400px-CSV-SM_driving_through_snowy_outpost_-_cropped.png.webp,Ground transportation,"Vehicle
(S1/XXS
)",1,4 SCU,https://starcitizen.tools/CSV-SM
Cutlass Black,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/8/87/CutlassBlack_TouchingDown.png/400px-CutlassBlack_TouchingDown.png.webp,Medium Freight,"Medium
(S3/S
)",1 – 3,46 SCU,https://starcitizen.tools/Cutlass_Black
Cutlass Black Best In Show Edition,Drake Interplanetary,Flight ready,,,,,,https://starcitizen.tools/Cutlass_Black_Best_In_Show_Edition
Cutlass Blue,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/d/d4/SKU_Cutlass_Blue.jpg/400px-SKU_Cutlass_Blue.jpg.webp,Interdiction,"Medium
(S3/S
)",1 – 3,12 SCU,https://starcitizen.tools/Cutlass_Blue
Cutlass Red,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/a/ac/Cutlass_Red_Squad_Concept.jpg/400px-Cutlass_Red_Squad_Concept.jpg.webp,Medical,"Medium
(S3/S
)",2,12 SCU,https://starcitizen.tools/Cutlass_Red
Cutlass Steel,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/7/72/Drake_cutlass_steel_weapon.jpg/400px-Drake_cutlass_steel_weapon.jpg.webp,Dropship,"Medium
(S3/S
)",1 – 3,0 SCU,https://starcitizen.tools/Cutlass_Steel
Cutter,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/4/4a/Cutter_flying_over_clouds_-_Cut.jpg/400px-Cutter_flying_over_clouds_-_Cut.jpg.webp,"Starter, Light Freight","Small
(S2/XS
)",1,4 SCU,https://starcitizen.tools/Cutter
Cutter Rambler,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/0/03/Cutter_Rambler_flying_over_valley_-_Cut.png/400px-Cutter_Rambler_flying_over_valley_-_Cut.png.webp,"Starter, Expedition","Small
(S2/XS
)",1,2 SCU,https://starcitizen.tools/Cutter_Rambler
Cutter Scout,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/a/a8/Cutter_Scout_flying_above_the_clouds_-_Cut.jpg/400px-Cutter_Scout_flying_above_the_clouds_-_Cut.jpg.webp,"Reconnaissance, Intelligence","Small
(S2/XS
)",1,2 SCU,https://starcitizen.tools/Cutter_Scout
Cyclone,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/d/d0/Cyclone_in_RandY_-_Front_Starboard.jpg/400px-Cyclone_in_RandY_-_Front_Starboard.jpg.webp,"Exploration, Recon","Vehicle
(S1/XXS
)",1 – 2,1 SCU,https://starcitizen.tools/Cyclone
Cyclone AA,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/4/4b/Cyclone_AA_in_2948_Expo_-_Front.jpg/400px-Cyclone_AA_in_2948_Expo_-_Front.jpg.webp,Anti-aircraft,"Vehicle
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/Cyclone_AA
Cyclone MT,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/e/ee/Cyclone-MT_Concept_Driving.jpg/400px-Cyclone-MT_Concept_Driving.jpg.webp,Assault,"Vehicle
(S1/XXS
)",1 – 3,0 SCU,https://starcitizen.tools/Cyclone_MT
Cyclone RC,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/3/3b/Cyclone_RC_in_RandY_-_Front_Starboard.jpg/400px-Cyclone_RC_in_RandY_-_Front_Starboard.jpg.webp,Racing,"Vehicle
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/Cyclone_RC
Cyclone RN,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/4/4f/Cyclone_RN_in_RandY_-_Front_Starboard.png/400px-Cyclone_RN_in_RandY_-_Front_Starboard.png.webp,Recon,"Vehicle
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/Cyclone_RN
Cyclone TR,Tumbril Land Systems,Flight ready,https://media.starcitizen.tools/thumb/7/7d/Cyclone_TR_on_Aberdeen_-_Front_Starboard_1_-_Cut.png/400px-Cyclone_TR_on_Aberdeen_-_Front_Starboard_1_-_Cut.png.webp,Combat,"Vehicle
(S1/XXS
)",1 – 3,0 SCU,https://starcitizen.tools/Cyclone_TR
Defender,Banu Souli,Flight ready,https://media.starcitizen.tools/thumb/1/17/Defender_-_Firing_over_Delemar.jpg/400px-Defender_-_Firing_over_Delemar.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/Defender
Dragonfly,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/c/c7/Dragonfly_x2_flying_away_from_explosion.jpg/400px-Dragonfly_x2_flying_away_from_explosion.jpg.webp,Racing,"Snub
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/Dragonfly
Dragonfly Yellowjacket,Drake Interplanetary,Flight ready,https://media.starcitizen.tools/thumb/4/46/Dragonfly_YJ_flying_over_ground_shooting_back.png/400px-Dragonfly_YJ_flying_over_ground_shooting_back.png.webp,Racing,"Snub
(S1/XXS
)",1 – 2,0 SCU,https://starcitizen.tools/Dragonfly_Yellowjacket
E1 Spirit,Crusader Industries,Active production,https://media.starcitizen.tools/thumb/d/d4/Spirit_E1_flying_fast_over_Orison_-_cropped.jpg/400px-Spirit_E1_flying_fast_over_Orison_-_cropped.jpg.webp,Passenger,Medium,1 – 2,0 SCU,https://starcitizen.tools/E1_Spirit
Eclipse,Aegis Dynamics,Flight ready,https://media.starcitizen.tools/thumb/b/bd/Aegis_Eclipse_over_Magda.png/400px-Aegis_Eclipse_over_Magda.png.webp,Stealth Bomber,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/Eclipse
Endeavor,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/d/d6/Endeavor.jpg/400px-Endeavor.jpg.webp,Heavy Science,Capital,3 – 5,500 SCU,https://starcitizen.tools/Endeavor
Expanse,Musashi Industrial and Starflight Concern,In concept,https://media.starcitizen.tools/thumb/2/2b/Expanse_-_x2_flying_through_debris_field_-_Front.png/400px-Expanse_-_x2_flying_through_debris_field_-_Front.png.webp,Refinery,Medium,1,64 SCU,https://starcitizen.tools/Expanse
F7C Hornet Mk I,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/b/b6/F7C_-_Landed_in_Area18_hangar_-_Front_Port.jpg/400px-F7C_-_Landed_in_Area18_hangar_-_Front_Port.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1,2 SCU,https://starcitizen.tools/F7C_Hornet_Mk_I
F7C Hornet Mk II,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/9/95/F7C_mkII_flying_over_outpost_firing_weapons_-_Colour_and_contrast_adjusted_-_Cropped.png/400px-F7C_mkII_flying_over_outpost_firing_weapons_-_Colour_and_contrast_adjusted_-_Cropped.png.webp,Medium Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/F7C_Hornet_Mk_II
F7C Hornet Wildfire Mk I,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/8/89/F7C_Wildfire_-_Flying_through_debris_field_firing_guns_-_cropped_and_adjusted.jpg/400px-F7C_Wildfire_-_Flying_through_debris_field_firing_guns_-_cropped_and_adjusted.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1,2 SCU,https://starcitizen.tools/F7C_Hornet_Wildfire_Mk_I
F7C-M Super Hornet Heartseeker Mk I,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/3/34/Heartseeker_Hornet_Isometric.jpg/400px-Heartseeker_Hornet_Isometric.jpg.webp,Combat,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/F7C-M_Super_Hornet_Heartseeker_Mk_I
F7C-M Super Hornet Mk I,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/d/d6/Super_Hornet_over_Cellin_3.9.1.png/400px-Super_Hornet_over_Cellin_3.9.1.png.webp,Medium Fighter,"Small
(S2/XS
)",1 – 2,0 SCU,https://starcitizen.tools/F7C-M_Super_Hornet_Mk_I
F7C-R Hornet Tracker Mk I,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/6/6b/F7C-R_Tracker_flying_over_mountains.jpg/400px-F7C-R_Tracker_flying_over_mountains.jpg.webp,Pathfinder,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/F7C-R_Hornet_Tracker_Mk_I
F7C-R Hornet Tracker Mk II,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/b/b2/F7C-R_Tracker_MkII_scanning_ground_vehicles_-_cropped_and_adjusted.jpg/400px-F7C-R_Tracker_MkII_scanning_ground_vehicles_-_cropped_and_adjusted.jpg.webp,Medium Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/F7C-R_Hornet_Tracker_Mk_II
F7C-S Hornet Ghost Mk I,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/3/36/F7C-S_Hornet_Ghost_in_debris_field_-_Front_Port_-_cropped_and_adjusted.png/400px-F7C-S_Hornet_Ghost_in_debris_field_-_Front_Port_-_cropped_and_adjusted.png.webp,Stealth Fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/F7C-S_Hornet_Ghost_Mk_I
F7C-S Hornet Ghost Mk II,Anvil Aerospace,Flight ready,,,,,,https://starcitizen.tools/F7C-S_Hornet_Ghost_Mk_II
F8C Lightning,Anvil Aerospace,Flight ready,https://media.starcitizen.tools/thumb/2/2f/F8C_flying_over_river_through_forest_-_Cropped.png/400px-F8C_flying_over_river_through_forest_-_Cropped.png.webp,Heavy fighter,"Small
(S2/XS
)",1,0 SCU,https://starcitizen.tools/F8C_Lightning
Fortune,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/7/73/Fortune_salvaging_crash_site_-_cropped.jpg/400px-Fortune_salvaging_crash_site_-_cropped.jpg.webp,Salvage,Small,1,12 SCU,https://starcitizen.tools/Fortune
Freelancer,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/9/9f/Freelancer.jpg/400px-Freelancer.jpg.webp,Medium Freight,"Medium
(S3/S
)",1 – 4,66 SCU,https://starcitizen.tools/Freelancer
Freelancer DUR,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/9/98/MISC-freelancer-dur-side-3.4.1.jpg/400px-MISC-freelancer-dur-side-3.4.1.jpg.webp,Expedition,"Medium
(S3/S
)",1 – 4,36 SCU,https://starcitizen.tools/Freelancer_DUR
Freelancer MAX,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/9/96/Freelancer_MAX_-_flying_above_grey_clouds.jpg/400px-Freelancer_MAX_-_flying_above_grey_clouds.jpg.webp,Medium Freight,"Medium
(S3/S
)",1 – 4,120 SCU,https://starcitizen.tools/Freelancer_MAX
Freelancer MIS,Musashi Industrial and Starflight Concern,Flight ready,https://media.starcitizen.tools/thumb/0/06/Freelancer_MIS_landed_at_frozen_outpost.jpg/400px-Freelancer_MIS_landed_at_frozen_outpost.jpg.webp,Gunship,"Medium
(S3/S
)",1 – 4,36 SCU,https://starcitizen.tools/Freelancer_MIS
Fury,Mirai,Flight ready,https://media.starcitizen.tools/thumb/9/9f/Fury_Landed_in_Port_Tressler_-_Blurred_BG.jpg/400px-Fury_Landed_in_Port_Tressler_-_Blurred_BG.jpg.webp,Snub Fighter,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Fury
Fury LX,Mirai,Flight ready,https://media.starcitizen.tools/thumb/c/c2/Fury_LX_x2_flying_low_and_fast_by_a_crashed_M50_-_Cut.jpg/400px-Fury_LX_x2_flying_low_and_fast_by_a_crashed_M50_-_Cut.jpg.webp,Racing,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Fury_LX
Fury MX,Mirai,Flight ready,https://media.starcitizen.tools/thumb/8/86/Fury_Miru_Concept_Art.png/400px-Fury_Miru_Concept_Art.png.webp,Snub Fighter,"Snub
(S1/XXS
)",1,0 SCU,https://starcitizen.tools/Fury_MX
G12,Origin Jumpworks,Long term production,https://media.starcitizen.tools/thumb/2/28/G12_in_garage_-_Cut.png/400px-G12_in_garage_-_Cut.png.webp,Touring,Vehicle,1 – 2,2 SCU,https://starcitizen.tools/G12
