id,name,focus,scu,size,crew,flight_ready,image_url,brand_id
45,Carrack,EXPEDITION,0,Large,6,true,"https://robertsspaceindustries.com/i/5a176dc57589f18effd841146ef5a37e88892aee/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResijpd9a1QppWGLqGr3g6nG4GJrw2mPpW4n)/source.webp",2
46,Carrack Expedition,EXPEDITION,0,Large,6,true,"https://robertsspaceindustries.com/i/9758689a17eb21a85421ebe1747bc2e330615d33/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjCZuJSam4DYUukYVVwnHutdWNoyhkiTan)/source.webp",2
47,Centurion,COMBAT,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/a4a0559e83591728407a892cd21076bfc8982d88/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskZee9JyWzsJsLzWu91ohmowddjhZycyVx)/source.webp",2
48,Crucible,HEAVY REPAIR,240,Large,3,false,"https://robertsspaceindustries.com/i/415207b24baccbc8f9a292682fbdf01419ed3c97/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResk6HKtm3JvRDjnuPsnSY6b1Tac2Ltkg4Tp)/source.webp",2
49,F7A Hornet Mk I,MEDIUM FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/2d77988a760b1e23f2985c4144eab419a705bdc4/resize(1820,1024,cover,3abds8aDHwwnLnYHogqUezXg8uxGn1Eb9KfCSPw6SPCDCz9AgGhb6nkunkpt3yxAQxdbo4)/NewHornet_screen28.webp",2
50,F7A Hornet Mk II,MEDIUM FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/ad0b2e0535e7eda9930c02e5e6338662bf417587/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj6zVVifHuf91B5XFQeSL3dKEdS5ru95An)/source.webp",2
51,F7C Hornet Mk I,MEDIUM FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/d7d165311c3e267b58c8e29713b0520de4708c0f/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskP3AFfH3teR68rmh57wSBzmTxzMu3g72W)/source.webp",2
52,F7C Hornet Mk II,MEDIUM FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/11898460f6c81a86b36767241e96326ebd7e300f/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjHymPx8r84PH9pB8dHUfSKxtsuxz3EFJE)/source.webp",2
53,F7C Hornet Wildfire Mk I,MEDIUM FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/9e720b90e0d17ff716543629745c48085120ccd9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseBrnAkkqry6NTco89YXxm7fiVePXmeG14)/source.webp",2
54,F7C-M Super Hornet Heartseeker Mk I,MEDIUM FIGHTER,0,Small,2,true,"https://robertsspaceindustries.com/i/1aae6c5e3cd205797eda041b6dd4085032b8753d/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResejFhFPaJXW9eWYg4EZ3DiiLfiG1H94aZC)/source.webp",2
55,F7C-M Super Hornet Mk I,MEDIUM FIGHTER,0,Small,2,true,"https://robertsspaceindustries.com/i/2bbd77da2b242dd2cc680b8dc693077b59308cf7/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResk22sDRRcjwtCehpyXnJhVE7ySLtuC3NMk)/source.webp",2
56,F7C-M Super Hornet Mk II,MEDIUM FIGHTER,0,Small,2,true,"https://robertsspaceindustries.com/i/aa2b3c767c2555caa89b0a0239aca9e63ef07a23/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResedtCVBuvj4aJo1EBhKirGcWN1xxtKGk8n)/source.webp",2
57,F7C-R Hornet Tracker Mk I,PATHFINDER,0,Small,1,true,"https://robertsspaceindustries.com/i/394b0101f3512d3b7b6414a6cf0ed3949fc1586a/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResijzE5e7KeCMw6zgFK6GYuS3kkyJqzYiNz)/source.webp",2
58,F7C-R Hornet Tracker Mk II,PATHFINDER,0,Small,1,true,"https://robertsspaceindustries.com/i/39cd372e488d85d551cb4cc8fa123e6636f3ca57/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjBJaqSQ4rFWEFiMQicMJTgbnq7v67SFHg)/source.webp",2
59,F7C-S Hornet Ghost Mk I,STEALTH FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/0dcd4d70d94dfe410df8936aa36b86c0dfcd26af/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjqHwXyzcPtQGAhaia7uvJdKpyzo2kq9x2)/source.webp",2
60,F7C-S Hornet Ghost Mk II,STEALTH FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/d1b4c6d0d1d76d6184f4c05313e40c2291da10a3/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskGt89eymTuzVVp1EdXjyc7BASHEb5C5LJ)/source.webp",2
61,F8C Lightning,HEAVY FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/dbe4048cfde01b6851a2dc6b5a3403139c9aa3ef/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjTEWFCBvRCcApL8QwcPy9mPPcUhEbyN9c)/source.webp",2
62,Gladiator,BOMBER,0,Small,2,true,"https://robertsspaceindustries.com/i/24c3aeaad34e328fac28c068188be4d2be8485ea/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAz62LgThdv7L26Mnnv9U1c1Ci2MqadbqDiE)/source.webp",2
63,Hawk,LIGHT FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/5f4d482dbcafa31057856651b99bb9121bb2dc7b/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqofk6iAEkXWjQtqfG1dYTrB2yze2VMN6)/source.webp",2
64,Hurricane,HEAVY FIGHTER,0,Small,2,true,"https://robertsspaceindustries.com/i/41d76881a5a0bb0ac3f6500a2ee18c661089f92d/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskGn8CGG5chJtVrZgvDP76ztQKVMaPHKiN)/source.webp",2
65,Legionnaire,BOARDING,0,Small,1,false,"https://robertsspaceindustries.com/i/2c603af2f1cf33d18fdb74cba906b0f3e45b2e8e/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpAyJAaJtycCHer7whEazSZzqQ1QuY25bU1DQ)/source.webp",2
66,Liberator,LIGHT CARRIER,400,Large,1,false,"https://robertsspaceindustries.com/i/eed7bda0cead13f22d29e0e4898532db163e4fae/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjYSRgY9JUi324WZvNLjX8bNV6rD8Rtger)/source.webp",2
67,Paladin,GUNSHIP,0,Medium,1,false,"https://robertsspaceindustries.com/i/8c81d329349b0a54e777cfe61c5da42ccef23324/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResepX5ErpfXTRLQNMtypE38tGoNspv5NtX8)/source.webp",2
68,Spartan,TRANSPORT,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/caec1a43fe808311ca492c51002e9a3bf585393c/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1kD3WpJBNCfd4f5GV9y4U6tFzGqUJY7Q)/source.webp",2
69,Terrapin,PATHFINDER,0,Small,1,true,"https://robertsspaceindustries.com/i/e226b9dfb09a0db6118b9793e84d91f7c396ce6b/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResipCJvtQrx1nD2gTpcswfhjvPdK8qy1NUN)/source.webp",2
70,Terrapin Medic,MEDICAL,0,Small,2,true,"https://robertsspaceindustries.com/i/0f0ef47ed3ea5a42f078afc9271b1302b734aac2/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResiqTMftn13eEVWjEGyq1r2u2BNf67RfTBC)/source.webp",2
71,Valkyrie,DROPSHIP,0,Small,5,true,"https://robertsspaceindustries.com/i/33c4ee2869dcf9490841df1d6968eed5d94ef5f9/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqctMmTYuX6sFTZyNbv2gpmbPFTbA9Sna)/source.webp",2
72,Khartu-Al,LIGHT FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/ae9dcbe03c30fbba78b1b90d9933894c54cd6986/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskvn8skBeKZhhvnJJ7SbDADp1YRPHK4jLS)/source.webp",3
75,San'tok.yāi,MEDIUM FIGHTER,0,Medium,1,true,"https://robertsspaceindustries.com/i/07f8b3fb66e8bf1fc56eed1e889c80510960b9ef/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseYxnLDbRvYcbdtzQnz5YTiGVWt6gxEs8r)/source.webp",3
74,Nox Kue,RACING,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/cfedd456f47513a8d2e7229761a87a475edc2170/resize(1820,1024,cover,hgjbks2vRxvijgZCkcudyey3yf2YnBqfanX6U636vzzNeeFdx43A2FpB1h72y9eres7Js1etFpA6vxqALTAbHwWijx)/source.webp",3
73,Nox,RACING,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/77be8ac04eac10f2d96cbb48db56bff76a108c20/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResez6iKCpgqqXaiP49xWFzmKVJNb993smQJ)/source.webp",3
76,ATLS,INDUSTRIAL,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/e857649dcd3767d24d3ec5085fbea8a6835fa833/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReseYuTuCACieSjiE8s24q9GjXTx67KcfVEe)/source.webp",4
77,ATLS GEO,INDUSTRIAL,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/9d0516b0a7d2a7cd18c62b2825e1fdf674fd94cb/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskCSb429VgwWkr59yNFiJo4RGJmSkWvrwG)/source.webp",4
78,CSV-SM,FREIGHT,4,Vehicle,1,true,"https://robertsspaceindustries.com/i/81ecec37908e30f0a1ce5120562e31a3dbf2826c/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqnZAnSKoJuBT8bRXif2VY471C6aty5xJ)/source.webp",4
79,MOLE,PROSPECTING / MINING,0,Medium,4,true,"https://robertsspaceindustries.com/i/09d0d3d126a43e1747e391213f50f1da3c39684b/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskeyuh2th2hpj2ey5zJ3ucQ9vcbaskWmxA)/source.webp",4
80,MPUV Cargo,LIGHT FREIGHT,0,Small,1,true,"https://robertsspaceindustries.com/i/81e713f8e644c1e857f81447c80c99adb34aeb68/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqS72thXJhruiyZdkAUXoWmCbfrFo9axn)/source.webp",4
81,MPUV Personnel,PASSENGER,0,Small,1,true,"https://robertsspaceindustries.com/i/a4531abec711e22d8da468f488c9f8cea63cbe42/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResj1m9L4rmH61jLubjuLTYqftH8J2JTVpsQ)/source.webp",4
82,MPUV Tractor,CARGO LOADER,0,Small,1,true,"https://robertsspaceindustries.com/i/35e5a3f413c5d72d6ebae4ca5859d4327167377f/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjN1NWaWLDpSVjwYpXDZBfjmjxHsT5bKen)/source.webp",4
83,RAFT,MEDIUM FREIGHT,96,Medium,1,true,"https://robertsspaceindustries.com/i/331d7c983e19ac25dff367e870e8c924f239da17/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskjDVZ1oPzGecgpKE4TU2z95zVFTwWYAhk)/source.webp",4
84,SRV,RECOVERY,12,Small,1,true,"https://robertsspaceindustries.com/i/1d508b10efc1d044d96c19c2120f7b55c09c1f10/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskvzMkR86na9QbqH7S5iyoVoKe6QYJ5fD8)/source.webp",4
85,Defender,LIGHT FIGHTER,0,Small,1,true,"https://robertsspaceindustries.com/i/517c98661fe71f5627dec6ff7fcaed61b0da2da3/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjqYDYeRY8q9ugefhioggnXHfpwouJVn3p)/source.webp",5
86,Merchantman,HEAVY FREIGHT,2880,Large,4,false,"https://robertsspaceindustries.com/i/322572eafa4b6dbc3c2c540549793c5bf9b23168/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjCWNfq9LLyC3dvte2ieQJwYuocquD6xva)/source.webp",5
87,HoverQuad,RACING,0,Vehicle,1,true,"https://robertsspaceindustries.com/i/e3df0092087fa6d51c2a49da55dc76169d53ae42/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjReskqwnrzVEUwLuvjuAagqGwGWYcwadhu4jQ)/source.webp",6
88,Mustang Alpha,CARGO,0,Small,1,true,"https://robertsspaceindustries.com/i/56e5d9360c19539d341a3b50a9a26c808daaf255/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjBFG9qk5KAVGU3wTFxrTvN1xmVan4nf7U)/source.webp",6
89,Mustang Alpha Vindicator,STARTER / LIGHT FREIGHT,0,Small,1,true,"https://robertsspaceindustries.com/i/77845046d524d82a07428c0d10ff03f62107eb70/resize(1820,1024,cover,ADdPNihJzmPbNuTnFsH1DqUeqBRpXdSXVVtgJTyDDgscGKrzJuoFjResjP84m1LNRBf7Rs9W2QHk9WNbJnUi8uWyt)/source.webp",6
