id,name,brand,focus,scu,size,crew,flight_ready,image_url
44,300i,Origin Jumpworks,"Touring, Luxury",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/48/300i_-_Flying_over_cloudtops.jpg/400px-300i_-_Flying_over_cloudtops.jpg.webp
45,315p,Origin Jumpworks,Pathfinder,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/b/ba/315p_-_Flying_high_over_clouds.jpg/400px-315p_-_Flying_high_over_clouds.jpg.webp
46,325a,Origin Jumpworks,"Light Fighter, Interdiction",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/7/71/325a_-_Flying_fast_over_clouded_mountains.jpg/400px-325a_-_Flying_fast_over_clouded_mountains.jpg.webp
47,350r,Origin Jumpworks,Racing,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/5/5f/350r_-_Flying_over_Daymar_x2.jpg/400px-350r_-_Flying_over_Daymar_x2.jpg.webp
48,400i,Origin Jumpworks,Touring,,Large S4/M,1 – 3,true,https://media.starcitizen.tools/thumb/7/78/400i_cruising_through_Area18_3.15.png/400px-400i_cruising_through_Area18_3.15.png.webp
49,600i Executive Edition,Origin Jumpworks,Exploration,,Large S5/L,2 – 5,true,https://media.starcitizen.tools/thumb/f/fe/600i_-_Legatus_Navium_Edition.jpg/400px-600i_-_Legatus_Navium_Edition.jpg.webp
50,600i Explorer,Origin Jumpworks,Expedition,,Large S5/L,2 – 5,true,https://media.starcitizen.tools/thumb/a/ac/600i_Flying_over_Microtech_-_cropped.png/400px-600i_Flying_over_Microtech_-_cropped.png.webp
51,600i Touring,Origin Jumpworks,Touring,,Large S5/L,3 – 5,true,https://media.starcitizen.tools/thumb/8/80/600i_Landed_on_luxury_Island_-_Isometric.jpg/400px-600i_Landed_on_luxury_Island_-_Isometric.jpg.webp
52,85X,Origin Jumpworks,Touring,,Snub S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/4/48/IAE2951-day6-origin-85x.jpg/400px-IAE2951-day6-origin-85x.jpg.webp
53,890 Jump,Origin Jumpworks,Luxury Touring,,Capital S6/XL,3 – 8,true,https://media.starcitizen.tools/thumb/7/76/890_Jump_Leaving_Hurston_3.6.png/400px-890_Jump_Leaving_Hurston_3.6.png.webp
54,A1 Spirit,Crusader Industries,Bomber,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/6/66/A1_x2_bombing_ground_vehicle_attackers_-_Cut.jpg/400px-A1_x2_bombing_ground_vehicle_attackers_-_Cut.jpg.webp
55,A2 Hercules Starlifter,Crusader Industries,Heavy Bomber,,Large S5/L,1 – 8,true,https://media.starcitizen.tools/thumb/9/9b/Hercules_A2_-_Flying_and_firing_over_bombed_Area_18.jpg/400px-Hercules_A2_-_Flying_and_firing_over_bombed_Area_18.jpg.webp
56,Apollo Medivac,Roberts Space Industries,Medical,,Medium,1 – 2,false,https://media.starcitizen.tools/thumb/8/89/Medivac_-_Under_attack_above_world_while_rescuing_with_drone_-_Rear_Starboard.jpg/400px-Medivac_-_Under_attack_above_world_while_rescuing_with_drone_-_Rear_Starboard.jpg.webp
57,Apollo Triage,Roberts Space Industries,Medical,,Medium,1 – 2,false,https://media.starcitizen.tools/thumb/1/18/Apollos_InFlight_Concept.jpg/400px-Apollos_InFlight_Concept.jpg.webp
58,Ares Star Fighter Inferno,Crusader Industries,Heavy Fighter,,Small S3/S,1,true,https://media.starcitizen.tools/thumb/b/ba/Ares_Inferno_-_Flying_by_asteroids_firing_gun.jpg/400px-Ares_Inferno_-_Flying_by_asteroids_firing_gun.jpg.webp
59,Ares Star Fighter Ion,Crusader Industries,Heavy Fighter,,Small S3/S,1,true,https://media.starcitizen.tools/thumb/9/93/Ares_Ion_-_Flying_by_asteroids_firing_gun.jpg/400px-Ares_Ion_-_Flying_by_asteroids_firing_gun.jpg.webp
60,Arrastra,Roberts Space Industries,Mining & Refining,,Large,2 – 5,false,https://media.starcitizen.tools/thumb/2/25/Arrastra_flying_through_columns_-_Cut.png/400px-Arrastra_flying_through_columns_-_Cut.png.webp
61,Arrow,Anvil Aerospace,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/47/Arrow_over_Celiin_3.9.1.png/400px-Arrow_over_Celiin_3.9.1.png.webp
62,ATLS,Argo Astronautics,NaN,,"",NaN,true,NaN
63,Aurora CL,Roberts Space Industries,Light Freight,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/3/37/Aurora_CL_flying_over_mountains_-_Crop.png/400px-Aurora_CL_flying_over_mountains_-_Crop.png.webp
64,Aurora ES,Roberts Space Industries,"Starter, Pathfinder",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/6/6e/Aurora_ES_flying_over_clouds_-_Crop.jpg/400px-Aurora_ES_flying_over_clouds_-_Crop.jpg.webp
65,Aurora LN,Roberts Space Industries,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/d/da/Aurora_LN_-_Flying_over_world.jpg/400px-Aurora_LN_-_Flying_over_world.jpg.webp
66,Aurora LX,Roberts Space Industries,Pathfinder,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/5/51/Aurora_LX_flying_over_clouds_-_Crop.png/400px-Aurora_LX_flying_over_clouds_-_Crop.png.webp
67,Aurora MR,Roberts Space Industries,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/d/d4/Aurora_MR_flying_above_world_-_Crop.png/400px-Aurora_MR_flying_above_world_-_Crop.png.webp
68,Avenger Stalker,Aegis Dynamics,Interdiction,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/3/34/Avenger_Stalker_-_In_flight_promo_shot.jpg/400px-Avenger_Stalker_-_In_flight_promo_shot.jpg.webp
69,Avenger Titan,Aegis Dynamics,Light Freight,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/4b/Avenger_Titan_3.2_sale_Titan_01-Squashed.jpg/400px-Avenger_Titan_3.2_sale_Titan_01-Squashed.jpg.webp
70,Avenger Titan Renegade,Aegis Dynamics,Light Freight,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/5/50/Avenger_Titan_Renegade_3.2_sale_Renegade_01_-_cropped_and_adjusted.jpg/400px-Avenger_Titan_Renegade_3.2_sale_Renegade_01_-_cropped_and_adjusted.jpg.webp
71,Avenger Warlock,Aegis Dynamics,Interdiction,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/44/Avenger_Warlock_3.2_sale_Warlock_10-Squashed.jpg/400px-Avenger_Warlock_3.2_sale_Warlock_10-Squashed.jpg.webp
72,Ballista,Anvil Aerospace,Military,,Vehicle S4/M,1 – 2,true,https://media.starcitizen.tools/thumb/c/cb/Ballista_on_glassland_firing_weapons_-_cropped.jpg/400px-Ballista_on_glassland_firing_weapons_-_cropped.jpg.webp
73,Ballista Dunestalker,Anvil Aerospace,Military,,Vehicle S4/M,1 – 2,true,https://media.starcitizen.tools/thumb/c/c6/Ballista_Dunestalker_on_Hurston_with_weapons_pointing_upwards.jpg/400px-Ballista_Dunestalker_on_Hurston_with_weapons_pointing_upwards.jpg.webp
74,Ballista Snowblind,Anvil Aerospace,Military,,Vehicle S4/M,1 – 2,true,https://media.starcitizen.tools/thumb/1/16/Ballista_Snowblind_firing_its_torpedo_-_Cropped_2.png/400px-Ballista_Snowblind_firing_its_torpedo_-_Cropped_2.png.webp
75,Blade,Esperia,Light Fighter,,Small,1,true,https://media.starcitizen.tools/thumb/4/4c/Blade-top-isc-2020-06-18.jpg/400px-Blade-top-isc-2020-06-18.jpg.webp
76,Buccaneer,Drake Interplanetary,Interdiction,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/a/ac/Buccaneer_-_3.10_-_Flying_over_Microtech.jpg/400px-Buccaneer_-_3.10_-_Flying_over_Microtech.jpg.webp
77,C1 Spirit,Crusader Industries,Medium Freight,,Medium S3/S,1 – 2,true,https://media.starcitizen.tools/thumb/9/95/Crusader_C1_Spirit_at_Winners_Circle.png/400px-Crusader_C1_Spirit_at_Winners_Circle.png.webp
78,C2 Hercules Starlifter,Crusader Industries,Heavy Freight,,Large S5/L,1 – 2,true,https://media.starcitizen.tools/thumb/c/cc/C2_Feature_Style_clouds.jpg/400px-C2_Feature_Style_clouds.jpg.webp
79,C8R Pisces Rescue,Anvil Aerospace,Medical,,Small S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/3/3f/Anvil_C8R_Pisces_loading.jpg/400px-Anvil_C8R_Pisces_loading.jpg.webp
80,C8X Pisces Expedition,Anvil Aerospace,Expedition,,Small S1/XXS,1 – 3,true,https://media.starcitizen.tools/thumb/d/d5/Pisces_C8X_flying_over_mountainous_volcanic_world.jpg/400px-Pisces_C8X_flying_over_mountainous_volcanic_world.jpg.webp
81,Carrack,Anvil Aerospace,Expedition,,Large S5/L,4 – 6,true,https://media.starcitizen.tools/thumb/9/92/Carrack_over_microTech_3.8.png/400px-Carrack_over_microTech_3.8.png.webp
82,Caterpillar,Drake Interplanetary,Heavy Freight,,Large S5/L,2 – 4,true,https://media.starcitizen.tools/thumb/8/8b/Caterpillar_firing_guns_-_Front_Port.jpg/400px-Caterpillar_firing_guns_-_Front_Port.jpg.webp
84,Caterpillar Pirate Edition,Drake Interplanetary,Heavy Freight,,Large S5/L,2 – 4,true,https://media.starcitizen.tools/thumb/7/7b/Caterpillar_Pirate_-_Landed_in_station_hangar.jpg/400px-Caterpillar_Pirate_-_Landed_in_station_hangar.jpg.webp
85,Centurion,Anvil Aerospace,Combat,,Vehicle S4/M,1 – 2,true,https://media.starcitizen.tools/thumb/b/b0/Centurion_-_In_battle_with_all_guns_firing.png/400px-Centurion_-_In_battle_with_all_guns_firing.png.webp
86,Constellation Andromeda,Roberts Space Industries,"Medium Freight, Gunship",,Large S4/M,3 – 4,true,https://media.starcitizen.tools/thumb/d/d7/Andromeda_flying_from_Station_-_Front_Starboard.jpg/400px-Andromeda_flying_from_Station_-_Front_Starboard.jpg.webp
87,Constellation Aquila,Roberts Space Industries,Expedition,,Large S4/M,3 – 4,true,https://media.starcitizen.tools/thumb/7/7e/Aquila_-_QT_-_Rear_Port.jpg/400px-Aquila_-_QT_-_Rear_Port.jpg.webp
88,Constellation Phoenix,Roberts Space Industries,Luxury Touring,,Large S4/M,3 – 4,true,https://media.starcitizen.tools/thumb/1/17/Constellation-phoenix-flyby-01.jpg/400px-Constellation-phoenix-flyby-01.jpg.webp
89,Constellation Phoenix Emerald,Roberts Space Industries,Touring,,Large S4/M,3 – 4,true,https://media.starcitizen.tools/thumb/9/90/Constellation_Phoenix_Emerald_-_3.14_Update_-_cropped_and_adjusted.png/400px-Constellation_Phoenix_Emerald_-_3.14_Update_-_cropped_and_adjusted.png.webp
90,Constellation Taurus,Roberts Space Industries,Medium Freight,,Large S4/M,3 – 4,true,https://media.starcitizen.tools/thumb/9/9d/Constellation_Taurus_-_Flying_through_clouds.jpg/400px-Constellation_Taurus_-_Flying_through_clouds.jpg.webp
91,Corsair,Drake Interplanetary,Expedition,,Large S4/M,1 – 4,true,https://media.starcitizen.tools/thumb/0/0e/SC-3.17_20221116_Corsair_Concept_Art_Recreation.png/400px-SC-3.17_20221116_Corsair_Concept_Art_Recreation.png.webp
92,Crucible,Anvil Aerospace,Heavy Repair,,Large,3 – 8,false,https://media.starcitizen.tools/thumb/4/40/Crucible_Repairs.jpg/400px-Crucible_Repairs.jpg.webp
93,CSV-SM,Argo Astronautics,Ground transportation,,Vehicle S1/XXS,1,true,https://media.starcitizen.tools/thumb/8/89/CSV-SM_driving_through_snowy_outpost_-_cropped.png/400px-CSV-SM_driving_through_snowy_outpost_-_cropped.png.webp
94,Cutlass Black,Drake Interplanetary,Medium Freight,,Medium S3/S,1 – 3,true,https://media.starcitizen.tools/thumb/8/87/CutlassBlack_TouchingDown.png/400px-CutlassBlack_TouchingDown.png.webp
96,Cutlass Blue,Drake Interplanetary,Interdiction,,Medium S3/S,1 – 3,true,https://media.starcitizen.tools/thumb/d/d4/SKU_Cutlass_Blue.jpg/400px-SKU_Cutlass_Blue.jpg.webp
97,Cutlass Red,Drake Interplanetary,Medical,,Medium S3/S,2,true,https://media.starcitizen.tools/thumb/a/ac/Cutlass_Red_Squad_Concept.jpg/400px-Cutlass_Red_Squad_Concept.jpg.webp
98,Cutlass Steel,Drake Interplanetary,Dropship,,Medium S3/S,1 – 3,true,https://media.starcitizen.tools/thumb/7/72/Drake_cutlass_steel_weapon.jpg/400px-Drake_cutlass_steel_weapon.jpg.webp
99,Cutter,Drake Interplanetary,"Starter, Light Freight",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/4/4a/Cutter_flying_over_clouds_-_Cut.jpg/400px-Cutter_flying_over_clouds_-_Cut.jpg.webp
100,Cutter Rambler,Drake Interplanetary,"Starter, Expedition",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/0/03/Cutter_Rambler_flying_over_valley_-_Cut.png/400px-Cutter_Rambler_flying_over_valley_-_Cut.png.webp
101,Cutter Scout,Drake Interplanetary,"Reconnaissance, Intelligence",,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/a/a8/Cutter_Scout_flying_above_the_clouds_-_Cut.jpg/400px-Cutter_Scout_flying_above_the_clouds_-_Cut.jpg.webp
102,Cyclone,Tumbril Land Systems,"Exploration, Recon",,Vehicle S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/d/d0/Cyclone_in_RandY_-_Front_Starboard.jpg/400px-Cyclone_in_RandY_-_Front_Starboard.jpg.webp
103,Cyclone AA,Tumbril Land Systems,Anti-aircraft,,Vehicle S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/4/4b/Cyclone_AA_in_2948_Expo_-_Front.jpg/400px-Cyclone_AA_in_2948_Expo_-_Front.jpg.webp
104,Cyclone MT,Tumbril Land Systems,Assault,,Vehicle S1/XXS,1 – 3,true,https://media.starcitizen.tools/thumb/e/ee/Cyclone-MT_Concept_Driving.jpg/400px-Cyclone-MT_Concept_Driving.jpg.webp
105,Cyclone RC,Tumbril Land Systems,Racing,,Vehicle S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/3/3b/Cyclone_RC_in_RandY_-_Front_Starboard.jpg/400px-Cyclone_RC_in_RandY_-_Front_Starboard.jpg.webp
106,Cyclone RN,Tumbril Land Systems,Recon,,Vehicle S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/4/4f/Cyclone_RN_in_RandY_-_Front_Starboard.png/400px-Cyclone_RN_in_RandY_-_Front_Starboard.png.webp
107,Cyclone TR,Tumbril Land Systems,Combat,,Vehicle S1/XXS,1 – 3,true,https://media.starcitizen.tools/thumb/7/7d/Cyclone_TR_on_Aberdeen_-_Front_Starboard_1_-_Cut.png/400px-Cyclone_TR_on_Aberdeen_-_Front_Starboard_1_-_Cut.png.webp
109,Dragonfly,Drake Interplanetary,Racing,,Snub S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/c/c7/Dragonfly_x2_flying_away_from_explosion.jpg/400px-Dragonfly_x2_flying_away_from_explosion.jpg.webp
110,Dragonfly Yellowjacket,Drake Interplanetary,Racing,,Snub S1/XXS,1 – 2,true,https://media.starcitizen.tools/thumb/4/46/Dragonfly_YJ_flying_over_ground_shooting_back.png/400px-Dragonfly_YJ_flying_over_ground_shooting_back.png.webp
111,E1 Spirit,Crusader Industries,Passenger,,Medium,1 – 2,false,https://media.starcitizen.tools/thumb/d/d4/Spirit_E1_flying_fast_over_Orison_-_cropped.jpg/400px-Spirit_E1_flying_fast_over_Orison_-_cropped.jpg.webp
112,Eclipse,Aegis Dynamics,Stealth Bomber,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/b/bd/Aegis_Eclipse_over_Magda.png/400px-Aegis_Eclipse_over_Magda.png.webp
115,F7C Hornet Mk I,Anvil Aerospace,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/b/b6/F7C_-_Landed_in_Area18_hangar_-_Front_Port.jpg/400px-F7C_-_Landed_in_Area18_hangar_-_Front_Port.jpg.webp
116,F7C Hornet Mk II,Anvil Aerospace,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/9/95/F7C_mkII_flying_over_outpost_firing_weapons_-_Colour_and_contrast_adjusted_-_Cropped.png/400px-F7C_mkII_flying_over_outpost_firing_weapons_-_Colour_and_contrast_adjusted_-_Cropped.png.webp
117,F7C Hornet Wildfire Mk I,Anvil Aerospace,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/8/89/F7C_Wildfire_-_Flying_through_debris_field_firing_guns_-_cropped_and_adjusted.jpg/400px-F7C_Wildfire_-_Flying_through_debris_field_firing_guns_-_cropped_and_adjusted.jpg.webp
118,F7C-M Super Hornet Heartseeker Mk I,Anvil Aerospace,Combat,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/3/34/Heartseeker_Hornet_Isometric.jpg/400px-Heartseeker_Hornet_Isometric.jpg.webp
119,F7C-M Super Hornet Mk I,Anvil Aerospace,Medium Fighter,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/d/d6/Super_Hornet_over_Cellin_3.9.1.png/400px-Super_Hornet_over_Cellin_3.9.1.png.webp
120,F7C-R Hornet Tracker Mk I,Anvil Aerospace,Pathfinder,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/6/6b/F7C-R_Tracker_flying_over_mountains.jpg/400px-F7C-R_Tracker_flying_over_mountains.jpg.webp
121,F7C-R Hornet Tracker Mk II,Anvil Aerospace,Medium Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/b/b2/F7C-R_Tracker_MkII_scanning_ground_vehicles_-_cropped_and_adjusted.jpg/400px-F7C-R_Tracker_MkII_scanning_ground_vehicles_-_cropped_and_adjusted.jpg.webp
122,F7C-S Hornet Ghost Mk I,Anvil Aerospace,Stealth Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/3/36/F7C-S_Hornet_Ghost_in_debris_field_-_Front_Port_-_cropped_and_adjusted.png/400px-F7C-S_Hornet_Ghost_in_debris_field_-_Front_Port_-_cropped_and_adjusted.png.webp
124,F8C Lightning,Anvil Aerospace,Heavy fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/2/2f/F8C_flying_over_river_through_forest_-_Cropped.png/400px-F8C_flying_over_river_through_forest_-_Cropped.png.webp
130,Fury,Mirai,Snub Fighter,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/9/9f/Fury_Landed_in_Port_Tressler_-_Blurred_BG.jpg/400px-Fury_Landed_in_Port_Tressler_-_Blurred_BG.jpg.webp
131,Fury LX,Mirai,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/c/c2/Fury_LX_x2_flying_low_and_fast_by_a_crashed_M50_-_Cut.jpg/400px-Fury_LX_x2_flying_low_and_fast_by_a_crashed_M50_-_Cut.jpg.webp
132,Fury MX,Mirai,Snub Fighter,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/8/86/Fury_Miru_Concept_Art.png/400px-Fury_Miru_Concept_Art.png.webp
133,G12,Origin Jumpworks,Touring,,Vehicle,1 – 2,false,https://media.starcitizen.tools/thumb/2/28/G12_in_garage_-_Cut.png/400px-G12_in_garage_-_Cut.png.webp
134,G12a,Origin Jumpworks,Military,,Vehicle,1 – 2,false,https://media.starcitizen.tools/thumb/4/4c/Origin_Rover_Armour_Promo_A_GC_01B-1-Min.jpg/400px-Origin_Rover_Armour_Promo_A_GC_01B-1-Min.jpg.webp
135,G12r,Origin Jumpworks,Racing,,Vehicle,1 – 2,false,https://media.starcitizen.tools/thumb/4/4b/ORIG_Rover_Promo_Racing_Forrest_PJ03-Min.jpg/400px-ORIG_Rover_Promo_Racing_Forrest_PJ03-Min.jpg.webp
129,Freelancer MIS,MISC,Gunship,,Medium S3/S,1 – 4,true,https://media.starcitizen.tools/thumb/0/06/Freelancer_MIS_landed_at_frozen_outpost.jpg/400px-Freelancer_MIS_landed_at_frozen_outpost.jpg.webp
136,Galaxy,Roberts Space Industries,Modular,,Large,6,false,https://media.starcitizen.tools/thumb/1/1b/RSI_Galaxy_concept_-_front_quarter_-_Cut.jpg/400px-RSI_Galaxy_concept_-_front_quarter_-_Cut.jpg.webp
137,Genesis Starliner,Crusader Industries,Passenger,,Large,2 – 8,false,https://media.starcitizen.tools/thumb/f/f0/Genesis_Starliner_-_Flying_away_from_Terra_Prime.jpg/400px-Genesis_Starliner_-_Flying_away_from_Terra_Prime.jpg.webp
138,Gladiator,Anvil Aerospace,Bomber,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/f/f0/Gladator_flying_over_world.png/400px-Gladator_flying_over_world.png.webp
139,Gladius,Aegis Dynamics,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/0/0c/Gladius_-_Flying_away_from_world_through_debris.jpg/400px-Gladius_-_Flying_away_from_world_through_debris.jpg.webp
141,Gladius Valiant,Aegis Dynamics,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/7/76/Gladius_Valiants_x2_flying_in_formation.jpg/400px-Gladius_Valiants_x2_flying_in_formation.jpg.webp
143,Guardian,Mirai,Heavy fighter,,Small,1,true,https://media.starcitizen.tools/thumb/0/02/Guardian_landed_in_ArcCorp_with_pilot_walking_towards_it_-_cropped_and_adjusted.jpg/400px-Guardian_landed_in_ArcCorp_with_pilot_walking_towards_it_-_cropped_and_adjusted.jpg.webp
144,Guardian QI,Mirai,Heavy Fighter,,Small,1,true,https://media.starcitizen.tools/thumb/2/22/Guardian_QI_over_world_firing_weapons_-_cropped_and_adjusted.jpg/400px-Guardian_QI_over_world_firing_weapons_-_cropped_and_adjusted.jpg.webp
145,Hammerhead,Aegis Dynamics,Heavy Gun Ship,,Large S5/L,3 – 9,true,https://media.starcitizen.tools/thumb/c/c8/Ext_03_03-Min.png/400px-Ext_03_03-Min.png.webp
147,Hawk,Anvil Aerospace,Light Fighter,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/6/6a/Star_Citizen-_Low_Flying_Hawk.png/400px-Star_Citizen-_Low_Flying_Hawk.png.webp
148,Herald,Drake Interplanetary,Medium Data,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/3/3e/Herald_landed_on_microTech_3.9.png/400px-Herald_landed_on_microTech_3.9.png.webp
149,HoverQuad,Consolidated Outland,Racing,,Snub S1/XXS,1,true,https://media.starcitizen.tools/thumb/3/32/HoverQuad_%28x2%29_flying_through_narrow_Canyon.png/400px-HoverQuad_%28x2%29_flying_through_narrow_Canyon.png.webp
155,Hurricane,Anvil Aerospace,Heavy Fighter,,Small S2/XS,1 – 2,true,https://media.starcitizen.tools/thumb/8/80/Hurricane_3.2_flyable_sale_Action_02-Squashed.jpg/400px-Hurricane_3.2_flyable_sale_Action_02-Squashed.jpg.webp
156,Idris-K,Aegis Dynamics,Frigate,,Capital,8 – 28,false,https://media.starcitizen.tools/thumb/2/25/Ares_x5_flying_towards_Idris_K.jpg/400px-Ares_x5_flying_towards_Idris_K.jpg.webp
157,Idris-M,Aegis Dynamics,Frigate,,Capital S6/XL,8 – 28,false,https://media.starcitizen.tools/thumb/8/8a/UEES_Stanton_-_Isometric.jpg/400px-UEES_Stanton_-_Isometric.jpg.webp
158,Idris-P,Aegis Dynamics,Frigate,,Capital,8 – 28,false,https://media.starcitizen.tools/thumb/d/d9/Idris-P_Concept_Clouds_-_Cropped.jpg/400px-Idris-P_Concept_Clouds_-_Cropped.jpg.webp
159,Intrepid,Crusader Industries,Starter/Light Freight,,Small S2/XS,1,true,https://media.starcitizen.tools/thumb/9/9a/Intrepid_on_Crusader_landing_pad_-_cropped.jpg/400px-Intrepid_on_Crusader_landing_pad_-_cropped.jpg.webp
160,Ironclad,Drake Interplanetary,Armored Freight,,Large,1 – 6,false,https://media.starcitizen.tools/thumb/d/d9/Ironclad_x2_floating_over_sandy_world_-_Cropped.jpg/400px-Ironclad_x2_floating_over_sandy_world_-_Cropped.jpg.webp
161,Ironclad Assault,Drake Interplanetary,Combined Arms Platform,,Large,1 – 6,false,https://media.starcitizen.tools/thumb/2/21/Ironclad_Assault_flying_low_over_world_firing_weapons_-_Cropped.jpg/400px-Ironclad_Assault_flying_low_over_world_firing_weapons_-_Cropped.jpg.webp
162,Javelin,Aegis Dynamics,Destroyer,,Capital S6/XL,12 – 80,false,https://media.starcitizen.tools/thumb/8/86/Javelin-fireworks-invictus-2950.jpg/400px-Javelin-fireworks-invictus-2950.jpg.webp
163,Khartu-al,Aopoa,Light Fighter,,Small S3/S,1,true,https://media.starcitizen.tools/thumb/a/ad/Khartu-Al_x2_firing_weapons_flying_over_mountains.jpg/400px-Khartu-Al_x2_firing_weapons_flying_over_mountains.jpg.webp
